posNr;kurztext;einheit;menge;ep;gp;source;riskLevel;calculationStatus;reasons;warning
049;Rohrgrabenaushub Bd-Kl. 3 - 5 - bis 2,5 m;m3;16000.0;35.1;561600.0;technical-parser-rohrgrabenaushub-cleaned;high;needs_review;HIGH_RISK | STATUS_needs_review | SOURCE_CLEANUP | TOP_AMOUNT | WARNING;"Plausibilitätsdeckel aktiv: KI-EP 446.84 EUR liegt über dem fachlichen Maximalansatz 85 EUR. Finaler EP wurde gedeckelt. · RLC No-X84 Unit-Normalisierung: technischer St-/Pauschalansatz wurde nicht als EP der LV-Einheit übernommen. · Schutzmatte wurde als Meterleistung realistisch kalibriert; alte 6,50 €/m waren für Schutzmatten zu niedrig. · Alter EP 85 wurde auf 32 €/m3 normalisiert. · RLC Source-Cleanup: Rohrgrabenaushub/Zuschlag wurde als technische Aushubposition erkannt. Source wurde von t"
351;Schutzmatte - Kabelverlegungen;m;13000.0;20.15;261950.0;technical-parser+no-x84-family-guard+no-x84-family-guard;high;needs_review;HIGH_RISK | STATUS_needs_review | NO_X84_GUARD | TOP_AMOUNT | WARNING;"Technische RLC-Komponentenkalkulation verwendet. Firmenpreise und Baustellenbedingungen prüfen. · RLC No-X84 Autonomous Family Guard aktiv: Schutzmatte Kabelverlegungen m V15 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · Global Knowledge Vergleich: 10.47–25.82 €/m, Ø 14.3075 €/m, Confidence 0.58. Nur Vergleichswert, kein finaler Kalkulationspreis. · RLC Autonomous Guard V11: Schutzmatte/Rohrschutz vorrangig als Meterleistung kalibriert. · RLC Marktindex V1"
377;Schutzmatte - Kabelverlegungen;m;13000.0;20.15;261950.0;technical-parser+no-x84-family-guard+no-x84-family-guard;high;needs_review;HIGH_RISK | STATUS_needs_review | NO_X84_GUARD | TOP_AMOUNT | WARNING;"Technische RLC-Komponentenkalkulation verwendet. Firmenpreise und Baustellenbedingungen prüfen. · RLC No-X84 Autonomous Family Guard aktiv: Schutzmatte Kabelverlegungen m V15 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · Global Knowledge Vergleich: 10.47–25.82 €/m, Ø 14.3075 €/m, Confidence 0.58. Nur Vergleichswert, kein finaler Kalkulationspreis. · RLC Autonomous Guard V11: Schutzmatte/Rohrschutz vorrangig als Meterleistung kalibriert. · RLC Marktindex V1"
401;Schutzmatte - Kabelverlegungen;m;13000.0;20.15;261950.0;technical-parser+no-x84-family-guard+no-x84-family-guard;medium;warning;STATUS_warning | NO_X84_GUARD | TOP_AMOUNT | WARNING;"Technische RLC-Komponentenkalkulation verwendet. Firmenpreise und Baustellenbedingungen prüfen. · RLC No-X84 Autonomous Family Guard aktiv: Schutzmatte Kabelverlegungen m V15 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · Global Knowledge Vergleich: 10.47–25.82 €/m, Ø 14.3075 €/m, Confidence 0.58. Nur Vergleichswert, kein finaler Kalkulationspreis. · RLC Autonomous Guard V11: Schutzmatte/Rohrschutz vorrangig als Meterleistung kalibriert. · RLC Marktindex V1"
133;Rohrschutz Schutzmatte;m;6150.0;40.3;247845.0;recipe+no-x84-family-guard+no-x84-family-guard;medium;warning;STATUS_warning | NO_X84_GUARD | TOP_AMOUNT | WARNING;"Universeller RLC-Preisresolver verwendet. Kein spezifisches Rezept gefunden; Firmenpreise und Baustellenbedingungen prüfen. · RLC No-X84 Autonomous Family Guard aktiv: Rohrschutz Schutzmatte m V14 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · Global Knowledge Vergleich: 10.47–25.82 €/m, Ø 14.3075 €/m, Confidence 0.58. Nur Vergleichswert, kein finaler Kalkulationspreis. · RLC Autonomous Guard V11: Schutzmatte/Rohrschutz vorrangig als Meterleistung kalibrier"
378;Mikrokabelleerrohrverbund;m;13000.0;18.0;234000.0;rlc-family-fallback-kabelschutzrohr-recalculated;high;needs_review;HIGH_RISK | STATUS_needs_review | FALLBACK | TOP_AMOUNT | WARNING;"Universeller RLC-Preisresolver verwendet. Kein spezifisches Rezept gefunden; Firmenpreise und Baustellenbedingungen prüfen. · RLC No-X84 Autonomous Family Guard aktiv: Mikrokabelleerrohrverbund m V12 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · RLC Family-Fallback-Recalculate: Kabelschutzrohr DN/Schutzrohr als Meterleistung: Mindestansatz 18 €/m prüfpflichtig gesetzt. Alter EP 4.37 €/Einheit wurde nicht als sicher übernommen. · RLC Mengen-/Positionsduplik"
052;Zuschlag Rohrgrabenaushub Bd-Kl. 7;m3;6000.0;34.52;207120.0;technical-parser-rohrgrabenaushub-cleaned;high;needs_review;HIGH_RISK | STATUS_needs_review | SOURCE_CLEANUP | TOP_AMOUNT | WARNING;Plausibilitätsgrenze aktiv: KI-EP 6.35 EUR liegt unter Mindestansatz 18 EUR. · RLC No-X84 Outlier-Guard: Position ohne X84/Angebotsbasis darf nicht automatisch als sicher bewertet werden. · Menge 6000 m3, EP 18, GP 108000. · RLC Source-Cleanup: Rohrgrabenaushub/Zuschlag wurde als technische Aushubposition erkannt. Source wurde von technical-parser auf prüfpflichtige Aushub-Kalkulation umgestellt.
069;Forststraßen wiederherstellen;m;5500.0;35.0;192500.0;rlc-family-fallback-forststrasse-recalculated;high;needs_review;HIGH_RISK | STATUS_needs_review | FALLBACK | TOP_AMOUNT | WARNING;RLC Technical Parser priorisiert vor Cache, Rule-Engine und OpenAI. · RLC No-X84 Unit-Normalisierung: technischer St-/Pauschalansatz wurde nicht als EP der LV-Einheit übernommen. · Forststraßen-Wiederherstellung wurde aus historischer Plausibilität als Meterleistung normalisiert. · Alter EP 95 wurde auf 24.5 €/m normalisiert. · RLC Source-Cleanup: Forststraße wiederherstellen wurde als eigene technische Position erkannt. Falsche Firmenkalibrierung/technical-parser-Basis wurde durch prüfpflichtig
427;Schutzmatte;lfm;6500.0;29.6;192400.0;recipe+no-x84-family-guard+no-x84-family-guard;medium;warning;STATUS_warning | NO_X84_GUARD | TOP_AMOUNT | WARNING;"Universeller RLC-Preisresolver verwendet. Kein spezifisches Rezept gefunden; Firmenpreise und Baustellenbedingungen prüfen. · RLC No-X84 Autonomous Family Guard aktiv: Schutzmatte Pos.427 lfm V17 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · RLC Autonomous Guard V11: Schutzmatte/Rohrschutz vorrangig als Meterleistung kalibriert. · RLC Marktindex V15: Preisbasis 2024 auf aktuelle Kalkulation marktbedingt fortgeschrieben. · Alter EP 29.6 wurde auf 25.74 €/lf"
440;Schutzmatte - Kabelverlegungen;m;6500.0;28.4;184600.0;technical-parser+no-x84-family-guard+no-x84-family-guard;medium;warning;STATUS_warning | NO_X84_GUARD | TOP_AMOUNT | WARNING;"Technische RLC-Komponentenkalkulation verwendet. Firmenpreise und Baustellenbedingungen prüfen. · RLC No-X84 Autonomous Family Guard aktiv: Schutzmatte Kabelverlegungen m V15 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · Global Knowledge Vergleich: 10.47–25.82 €/m, Ø 14.3075 €/m, Confidence 0.58. Nur Vergleichswert, kein finaler Kalkulationspreis. · RLC Autonomous Guard V11: Schutzmatte/Rohrschutz vorrangig als Meterleistung kalibriert. · RLC Marktindex V1"
